"id"	"title"	"title_id"	"program_name"	"audio_id"	"audio_href"	"duration"	"loopnumber"	"upload_time"
"1"	"刘媛媛：3天搞定当众说话"	"104"	"演讲课发刊词"	"1041"	"https://od.qingting.fm/vod/00/00/0000000000000000000026092389_24.m4a"	"13:21"	"7.4万"	"2019-7-3"
"2"	"刘媛媛：3天搞定当众说话"	"104"	"演讲课1 为什么你讲话没人听？3个错误千万不能犯"	"1042"	"https://od.qingting.fm/vod/00/00/0000000000000000000026092390_24.m4a"	"19:36"	"1827"	"2019-7-3"
"3"	"刘媛媛：3天搞定当众说话"	"104"	"演讲课2 独创根枝叶果理论，让你的讲话精彩绝伦"	"1043"	"https://od.qingting.fm/vod/00/00/0000000000000000000026092389_24.m4a"	"23:15"	"1639"	"2019-7-3"
"4"	"刘媛媛：3天搞定当众说话"	"104"	"演讲课3 不经删减不成经典，简洁说话表达更清晰"	"1044"	"https://od.qingting.fm/vod/00/00/0000000000000000000026092393_24.m4a"	"19:31"	"1231"	"2019-7-3"
"5"	"刘媛媛：3天搞定当众说话"	"104"	"演讲课4 怎样说服他人？3个方法轻松让别人听你的话"	"1045"	"https://od.qingting.fm/vod/00/00/0000000000000000000026092396_24.m4a"	"14:28"	"809"	"2019-7-3"
"6"	"东北往事（1-5）【周建龙演播代表作】"	"103"	"东北往事20年1 第1集"	"1031"	"https://od.qingting.fm/vod/00/00/0000000000000000000026092389_24.m4a"	"22:19"	"2242.7万"	"2015-7-22"
"7"	"东北往事（1-5）【周建龙演播代表作】"	"103"	"东北往事20年1 第2集"	"1032"	"https://od.qingting.fm/vod/00/00/0000000000000000000026092390_24.m4a"	"22:23"	"1367.6万"	"2015-7-22"
"8"	"东北往事（1-5）【周建龙演播代表作】"	"103"	"东北往事20年1 第3集"	"1033"	"https://od.qingting.fm/vod/00/00/0000000000000000000026092389_24.m4a"	"22:19"	"1208.1万"	"2015-7-22"
"9"	"东北往事（1-5）【周建龙演播代表作】"	"103"	"东北往事20年1 第4集"	"1034"	"https://od.qingting.fm/vod/00/00/0000000000000000000026092393_24.m4a"	"22:29"	"1090.2万"	"2015-7-22"
"10"	"东北往事（1-5）【周建龙演播代表作】"	"103"	"东北往事20年1 第5集"	"1035"	"https://od.qingting.fm/vod/00/00/0000000000000000000026092396_24.m4a"	"22:29"	"1032.7万"	"2015-7-22"
"11"	"Made in Star明星制造"	"105"	"专访贾凡：我的声音 声入人心（诚意版）"	"1051"	"https://od.qingting.fm/vod/00/00/0000000000000000000024292788_24.m4a"	"47:48"	"3915"	"2019-8-14"
"12"	"Made in Star明星制造"	"105"	"专访宣言：九州缥缈录里的小皇帝白鹿颜"	"1052"	"https://od.qingting.fm/vod/00/00/0000000000000000000024292781_24.m4a"	"23:29"	"2543"	"2019-8-10"
"13"	"Made in Star明星制造"	"105"	"专访赵政豪：我要唱歌给你听"	"1053"	"https://od.qingting.fm/vod/00/00/0000000000000000000026092396_24.m4a"	"24:00"	"3209"	"2019-8-8"
"14"	"Made in Star明星制造"	"105"	"专访贾凡：追梦少年 用音乐扣动心弦"	"1054"	"https://od.qingting.fm/vod/00/00/0000000000000000000024292774_24.m4a"	"22:50"	"2.7万"	"2019-8-1"
"15"	"Made in Star明星制造"	"105"	"专访零点乐队：原创 流行 摇滚 我们的专属音乐标签"	"1055"	"https://od.qingting.fm/vod/00/00/0000000000000000000024292771_24.m4a"	"27:32"	"9535"	"2019-7-30"
"16"	"单田芳：乱世枭雄"	"101"	"乱世枭雄 第1回"	"1011"	"https://od.qingting.fm/vod/00/00/0000000000000000000026036756_24.m4a"	"23:15"	"7076.2万"	"2015-7-6"
"17"	"单田芳：乱世枭雄"	"101"	"乱世枭雄 第2回"	"1012"	"https://od.qingting.fm/vod/00/00/0000000000000000000026036757_24.m4a"	"23:23"	"3252.4万"	"2015-7-6"
"18"	"单田芳：乱世枭雄"	"101"	"乱世枭雄 第3回"	"1013"	"https://od.qingting.fm/vod/00/00/0000000000000000000026036758_24.m4a"	"23:00"	"2920.0万"	"2015-7-6"
"19"	"单田芳：乱世枭雄"	"101"	"乱世枭雄 第4回"	"1014"	"https://od.qingting.fm/vod/00/00/0000000000000000000026036759_24.m4a"	"23:07"	"2418.8万"	"2015-7-6"
"20"	"单田芳：乱世枭雄"	"101"	"乱世枭雄 第5回"	"1015"	"https://od.qingting.fm/vod/00/00/0000000000000000000026036760_24.m4a"	"22:56"	"2418.8万"	"2015-7-6"
"21"	"中华先锋人物故事汇"	"102"	"发刊词：时代先锋人物，传递向上力量"	"1021"	"https://od.qingting.fm/m4a/5a5f03b97cb89146f0e24b77_8584376_64.m4a"	"01:29"	"175"	"2019-8-12"
"22"	"中华先锋人物故事汇"	"102"	"【中国女排】第1集：紧张一刻"	"1022"	"https://od.qingting.fm/m4a/5a5f03b97cb89146f0e24b77_8584376_64.m4a"	"01:29"	"175万"	"2019-8-12"
"23"	"中华先锋人物故事汇"	"102"	"【中国女排】第2集：能吃苦的孩子"	"1023"	"https://od.qingting.fm/m4a/5a5f03ba7cb89146f4bc4e5c_8584379_64.m4a"	"06:28"	"205"	"2019-8-12"
"24"	"中华先锋人物故事汇"	"102"	"【中国女排】第3集：令人惊喜的“插班生"	"1024"	"https://od.qingting.fm/m4a/5a5f03ba7cb89146f209400b_8584380_64.m4a"	"16:49"	"144"	"2019-8-12"
